Online shop URL,Label,Domain length,Top domain length,Presence of prefix 'www' ,Number  of digits,Number  of letters,Number  of dots (.),Number  of hyphens (-),Presence of credit card payment,Presence of money back payment,Presence of cash on delivery payment,Presence of crypto currency,Presence of free contact emails,Presence of logo URL,SSL certificate issuer,SSL certificate expire date,Issuer organization,SSL certificate issuer organization list item,Indication of young domain ,Domain registration date,Presence of TrustPilot reviews,TrustPilot score,Presence of SiteJabber reviews,Presence in the standard Tranco list,Tranco List rank
https://www.fairybell.com/en,legitimate,17,3,1,0,22,2,0,1,1,0,0,2,0,Cloudflare Inc ECC CA-3,Jun 26 23:59:59 2024 GMT,"Cloudflare, Inc.",1,0,2015-09-29 18:17,1,2.8,0,0,-1
https://www.jbhifi.com.au,legitimate,17,6,1,0,19,3,0,1,1,0,0,0,1,GlobalSign Domain Validation CA - SHA256 - G3,Sep 18 08:05:33 2023 GMT,GlobalSign nv-sa,8,2,Hidden,1,2.1,0,0,-1
https://www.apharmacie.com,fraudulent,18,3,1,0,21,2,0,0,0,0,0,0,1,R3,Oct  1 04:05:26 2023 GMT,Let's Encrypt,2,0,2021-02-17 09:34,0,,0,0,-1
https://theamisycompany.com,legitimate,19,3,0,0,23,1,0,1,1,1,0,1,1,R3,Sep 18 00:37:22 2023 GMT,Let's Encrypt,2,0,2018-04-13 10:58,0,-1,0,0,-1
https://www.eurocarparts.com,legitimate,20,3,1,0,23,2,0,1,1,1,0,2,1,Sectigo RSA Extended Validation Secure Server CA,Aug 19 23:59:59 2023 GMT,Sectigo Limited,3,0,1999-02-25 05:00,1,3.9,1,0,-1
https://www.agofstore.com,legitimate,17,3,1,0,20,2,0,0,0,0,0,0,1,GeoTrust EV RSA CA 2018,Nov 21 23:59:59 2023 GMT,DigiCert Inc,7,0,2010-12-18 00:00,1,4.3,0,0,-1
https://www.feuerwear.com,legitimate,17,3,1,0,20,2,0,1,1,1,0,3,1,Amazon RSA 2048 M01,Feb 21 23:59:59 2024 GMT,Amazon,6,0,2009-04-01 17:03,1,3.9,0,0,-1
https://www.kitchenwarehubde.com,fraudulent,24,3,1,0,27,2,0,1,1,1,0,0,1,GTS CA 1P5,Sep 21 06:49:28 2023 GMT,Google Trust Services LLC,9,1,2023-06-23 07:42,0,,0,0,-1
https://www.boldano.de,fraudulent,14,2,1,0,17,2,0,1,0,1,0,0,1,GTS CA 1P5,Oct 18 04:04:36 2023 GMT,Google Trust Services LLC,9,2,Hidden,0,,0,0,-1
https://weinteufel.de,legitimate,13,2,0,0,17,1,0,1,1,0,1,2,0,R3,Sep 17 02:43:51 2023 GMT,Let's Encrypt,2,2,Hidden,0,-1,0,0,-1
